SPX Index,A UN Equity,0.00094374
SPX Index,AAL UW Equity,0.00095459
SPX Index,AAP UN Equity,0.00031891
SPX Index,AAPL UW Equity,0.03912093
SPX Index,ABBV UN Equity,0.0067461
SPX Index,ABC UN Equity,0.0006519
SPX Index,ABT UN Equity,0.00417865
SPX Index,ACN UN Equity,0.00411012
SPX Index,ADBE UW Equity,0.00380694
SPX Index,ADI UW Equity,0.00137966
SPX Index,ADM UN Equity,0.00099287
SPX Index,ADP UW Equity,0.00229617
SPX Index,ADS UN Equity,0.00050029
SPX Index,ADSK UW Equity,0.00102685
SPX Index,AEE UN Equity,0.0006421
SPX Index,AEP UN Equity,0.0016491
SPX Index,AES UN Equity,0.00030368
SPX Index,AET UN Equity,0.00259949
SPX Index,AFL UN Equity,0.00153701
SPX Index,AGN UN Equity,0.00252587
SPX Index,AIG UN Equity,0.00231037
SPX Index,AIV UN Equity,0.00029762
SPX Index,AIZ UN Equity,0.00023891
SPX Index,AJG UN Equity,0.00050303
SPX Index,AKAM UW Equity,0.00043244
SPX Index,ALB UN Equity,0.00062028
SPX Index,ALGN UW Equity,0.0007411
SPX Index,ALK UN Equity,0.00037182
SPX Index,ALL UN Equity,0.00164709
SPX Index,ALLE UN Equity,0.0003401
SPX Index,ALXN UW Equity,0.00111659
SPX Index,AMAT UW Equity,0.00240669
SPX Index,AMD UR Equity,0.00035884
SPX Index,AME UN Equity,0.00072217
SPX Index,AMG UN Equity,0.00048425
SPX Index,AMGN UW Equity,0.0056134
SPX Index,AMP UN Equity,0.00109066
SPX Index,AMT UN Equity,0.00269856
SPX Index,AMZN UW Equity,0.02059565
SPX Index,ANDV UN Equity,0.00069116
SPX Index,ANSS UW Equity,0.00054031
SPX Index,ANTM UN Equity,0.00263916
SPX Index,AON UN Equity,0.00152693
SPX Index,AOS UN Equity,0.00038635
SPX Index,APA UN Equity,0.00065572
SPX Index,APC UN Equity,0.00117295
SPX Index,APD UN Equity,0.00152939
SPX Index,APH UN Equity,0.00120643
SPX Index,APTV UN Equity,0.00098314
SPX Index,ARE UN Equity,0.00052362
SPX Index,ARNC UN Equity,0.00046451
SPX Index,ATVI UW Equity,0.0021629
SPX Index,AVB UN Equity,0.00110089
SPX Index,AVGO UW Equity,0.00463944
SPX Index,AVY UN Equity,0.00044261
SPX Index,AWK UN Equity,0.00070838
SPX Index,AXP UN Equity,0.00313381
SPX Index,AYI UN Equity,0.00030474
SPX Index,AZO UN Equity,0.0008866
SPX Index,BA UN Equity,0.00718042
SPX Index,BAC UN Equity,0.01239616
SPX Index,BAX UN Equity,0.00142917
SPX Index,BBT UN Equity,0.0017475
SPX Index,BBY UN Equity,0.00075867
SPX Index,BCR UN Equity,0.00106057
SPX Index,BDX UN Equity,0.00218829
SPX Index,BEN UN Equity,0.00062286
SPX Index,BF/B UN Equity,0.00056822
SPX Index,BHGE UN Equity,0.00057275
SPX Index,BIIB UW Equity,0.00300858
SPX Index,BK UN Equity,0.00246268
SPX Index,BLK UN Equity,0.00276359
SPX Index,BLL UN Equity,0.00058993
SPX Index,BMY UN Equity,0.00448123
SPX Index,BRK/B UN Equity,0.01664906
SPX Index,BSX UN Equity,0.00154368
SPX Index,BWA UN Equity,0.0004522
SPX Index,BXP UN Equity,0.00085781
SPX Index,C UN Equity,0.00885684
SPX Index,CA UW Equity,0.00045753
SPX Index,CAG UN Equity,0.00067309
SPX Index,CAH UN Equity,0.00083681
SPX Index,CAT UN Equity,0.00379213
SPX Index,CB UN Equity,0.00299203
SPX Index,CBG UN Equity,0.00056016
SPX Index,CBOE UW Equity,0.00062786
SPX Index,CBS UN Equity,0.00093069
SPX Index,CCI UN Equity,0.00197692
SPX Index,CCL UN Equity,0.00116854
SPX Index,CDNS UW Equity,0.00054297
SPX Index,CELG UW Equity,0.00371866
SPX Index,CERN UW Equity,0.00095133
SPX Index,CF UN Equity,0.00041607
SPX Index,CFG UN Equity,0.0009141
SPX Index,CHD UN Equity,0.00054484
SPX Index,CHK UN Equity,0.00014585
SPX Index,CHRW UW Equity,0.00053181
SPX Index,CHTR UW Equity,0.00290356
SPX Index,CI UN Equity,0.00225458
SPX Index,CINF UW Equity,0.00047739
SPX Index,CL UN Equity,0.00284507
SPX Index,CLX UN Equity,0.00082052
SPX Index,CMA UN Equity,0.00064752
